idUsuario,isEmpty,tipo,correo,password,direccion,codPostal
1,1,1,jtroy0@auda.org.au,EjBJ79Q,17 Heffernan Road,8842
2,1,1,ymatura1@shinystat.com,HtLwI1n0PDV,678 Northridge Alley,4248
3,1,1,mfinicj2@mapquest.com,0ySza7oIiq,5410 Express Crossing,3121
4,1,1,chamman3@hubpages.com,6L8vleUhT,2624 Dahle Trail,7022
5,1,1,nochterlonie4@timesonline.co.uk,r5yKd5bZsm2,37627 Carey Park,5866
6,1,1,eperton5@pagesperso-orange.fr,FUkGPbEb,8148 East Avenue,9495
7,1,1,cisitt6@cnet.com,vwVeUn,04521 Graceland Park,5407
8,1,1,fdiboll7@typepad.com,PBNS2kFWjh,348 Fair Oaks Pass,7755
9,1,1,ngarlant8@foxnews.com,FdRIpgeMwP,9 Merrick Plaza,1907
10,1,1,mlicari9@aol.com,JUDlV7G,5 Milwaukee Circle,3523
